city,state,lat,lng
Marysville,WA,48.0809,-122.1561
Corona,CA,33.8616,-117.5649
Ocala,FL,29.1780,-82.1511
Fredericksburg,VA,38.2992,-77.4872
Gainesville,GA,34.2903,-83.8301
Manchester,NH,42.9848,-71.4447
Bayamon,PR,18.3793,-66.1635
Champaign,IL,40.1144,-88.2735
Alexandria,VA,38.8185,-77.0861
Hayward,CA,37.6328,-122.0772
Springfield,IL,39.7710,-89.6538
Lakewood,CO,39.6977,-105.1168
Lafayette,IN,40.3990,-86.8594
Frederick,MD,39.4336,-77.4141
Lake Charles,LA,30.2012,-93.2122
Odessa,TX,31.8831,-102.3406
Tuscaloosa,AL,33.2348,-87.5267
Warner Robins,GA,32.5970,-83.6529
Palmdale,CA,34.5944,-118.1057
Hollywood,FL,26.0294,-80.1679
Midland,TX,32.0249,-102.1137
Leesburg,FL,28.7657,-81.8996
Port Arthur,TX,29.8554,-93.9264
Muskegon,MI,43.2281,-86.2563
Macon,GA,32.8065,-83.6974
Kansas City,KS,39.1234,-94.7443
Sunnyvale,CA,37.3836,-122.0256
Pomona,CA,34.0585,-117.7626
Escondido,CA,33.1347,-117.0722
Pasadena,TX,29.6583,-95.1499
New Bedford,MA,41.6697,-70.9428
Fairfield,CA,38.2592,-122.0324
Naperville,IL,41.7483,-88.1657
Bellevue,WA,47.5951,-122.1535
Binghamton,NY,42.1014,-75.9093
Elkhart,IN,41.6916,-85.9628
Topeka,KS,39.0346,-95.6955
Joliet,IL,41.5189,-88.1499
Beaumont,TX,30.0849,-94.1451
Paterson,NJ,40.9147,-74.1624
Merced,CA,37.3057,-120.4778
Pueblo,CO,38.2705,-104.6112
Tyler,TX,32.3184,-95.3062
Torrance,CA,33.8346,-118.3417
Yuma,AZ,32.5992,-114.5488
Metairie,LA,29.9977,-90.1780
Surprise,AZ,33.6800,-112.4524
Columbia,MO,38.9478,-92.3256
Athens,GA,33.9508,-83.3689
Roseville,CA,38.7703,-121.3196
Thornton,CO,39.9197,-104.9438
Miramar,FL,25.9773,-80.3351
Pasadena,CA,34.1597,-118.1390
Mesquite,TX,32.7623,-96.5889
Olathe,KS,38.8832,-94.8198
Santa Maria,CA,34.9334,-120.4432
Houma,LA,29.5799,-90.7058
Carrollton,TX,32.9890,-96.8999
Grand Junction,CO,39.0876,-108.5673
Charleston,WV,38.3484,-81.6323
Orange,CA,33.8038,-117.8218
Fullerton,CA,33.8841,-117.9279
Greeley,CO,40.4151,-104.7706
Carolina,PR,18.4054,-65.9792
Las Cruces,NM,32.3265,-106.7892
Panama City,FL,30.1995,-85.6004
Harlingen,TX,26.1917,-97.6976
West Valley City,UT,40.6889,-112.0115
Hampton,VA,37.0551,-76.3630
Warren,MI,42.4934,-83.0270
Mauldin,SC,34.7849,-82.3005
Bloomington,IL,40.4757,-88.9703
Coral Springs,FL,26.2702,-80.2591
Round Rock,TX,30.5254,-97.6660
Yakima,WA,46.5923,-120.5496
Sterling Heights,MI,42.5809,-83.0305
Kent,WA,47.3887,-122.2129
Burlington,NC,36.0758,-79.4686
Bellingham,WA,48.7543,-122.4687
Santa Clara,CA,37.3645,-121.9680
Racine,WI,42.7274,-87.8135
Greenville,NC,35.5956,-77.3768
Stamford,CT,41.1035,-73.5583
Elizabeth,NJ,40.6657,-74.1912
Johnson City,TN,36.3406,-82.3803
Lynchburg,VA,37.4003,-79.1909
Simi Valley,CA,34.2663,-118.7490
Fort Smith,AR,35.3493,-94.3695
Kenosha,WI,42.5864,-87.8765
Norman,OK,35.2335,-97.3471
South Lyon,MI,42.4614,-83.6526
Boulder,CO,40.0249,-105.2523
Abilene,TX,32.4543,-99.7384
Lehigh Acres,FL,26.6120,-81.6388
Pearland,TX,29.5585,-95.3215
Berkeley,CA,37.8723,-122.2760
Richardson,TX,32.9717,-96.7093
Redding,CA,40.5698,-122.3650
Arvada,CO,39.8321,-105.1511
East Los Angeles,CA,34.0326,-118.1691
St. George,UT,37.0770,-113.5770
Billings,MT,45.7891,-108.5524
Yuba City,CA,39.1357,-121.6381
Rochester,MN,44.0151,-92.4778
Leominster,MA,42.5209,-71.7717
Kingsport,TN,36.5224,-82.5453
Duluth,MN,46.7756,-92.1392
Rock Hill,SC,34.9416,-81.0244
Gilroy,CA,37.0047,-121.5855
Cambridge,MA,42.3759,-71.1185
Sugar Land,TX,29.5935,-95.6357
Texas City,TX,29.4128,-94.9658
Iowa City,IA,41.6559,-91.5303
Saginaw,MI,43.4199,-83.9501
Chico,CA,39.7575,-121.8152
Dover,DE,39.1610,-75.5203
Clearwater,FL,27.9789,-82.7622
Coeur d'Alene,ID,47.7041,-116.7935
Seaside,CA,36.6224,-121.8191
Independence,MO,39.0871,-94.3501
West Jordan,UT,40.6024,-112.0008
Brandon,FL,27.9367,-82.3000
Bloomington,IN,39.1637,-86.5257
El Monte,CA,34.0739,-118.0291
North Charleston,SC,32.9066,-80.0722
Carlsbad,CA,33.1247,-117.2837
St. Cloud,MN,45.5339,-94.1718
Temecula,CA,33.4928,-117.1315
Clovis,CA,36.8278,-119.6831
Meridian,ID,43.6112,-116.3968
The Woodlands,TX,30.1738,-95.5134
Ponce,PR,18.0120,-66.6198
Westminster,CO,39.8837,-105.0624
Costa Mesa,CA,33.6667,-117.9135
Monroe,LA,32.5183,-92.0774
Utica,NY,43.0961,-75.2260
Pompano Beach,FL,26.2428,-80.1312
West Palm Beach,FL,26.7468,-80.1316
Waterloo,IA,42.4920,-92.3522
Everett,WA,47.9525,-122.1669
El Centro,CA,32.7867,-115.5586
Santa Fe,NM,35.6619,-105.9819
Downey,CA,33.9379,-118.1312
Spring Hill,FL,28.4797,-82.5300
Lowell,MA,42.6389,-71.3217
Centennial,CO,39.5926,-104.8674
Elgin,IL,42.0385,-88.3229
Richmond,CA,37.9477,-122.3390
Broken Arrow,OK,36.0365,-95.7809
Miami Gardens,FL,25.9433,-80.2426
Bend,OR,44.0562,-121.3087
Burlington,VT,44.4877,-73.2314
Jurupa Valley,CA,34.0010,-117.4705
Sandy Springs,GA,33.9366,-84.3703
Gresham,OR,45.5023,-122.4413
Lewisville,TX,33.0452,-96.9823
Hillsboro,OR,45.5272,-122.9361
San Buenaventura,CA,34.2741,-119.2314
Jacksonville,NC,34.7288,-77.3941
Pottstown,PA,40.2507,-75.6444
Inglewood,CA,33.9566,-118.3444
League City,TX,29.4873,-95.1087
Eau Claire,WI,44.8199,-91.4949
Turlock,CA,37.5053,-120.8588
Temple,TX,31.1076,-97.3894
Sioux City,IA,42.4959,-96.3901
Salisbury,MD,38.3756,-75.5867
Davie,FL,26.0789,-80.2870
Daly City,CA,37.6862,-122.4685
Highlands Ranch,CO,39.5419,-104.9708
Allen,TX,33.1088,-96.6735
West Covina,CA,34.0555,-117.9112
Sparks,NV,39.5729,-119.7157
Wichita Falls,TX,33.9072,-98.5291
San Mateo,CA,37.5521,-122.3122
Columbia,MD,39.2004,-76.8590
Norwalk,CA,33.9069,-118.0829
Rialto,CA,34.1174,-117.3894
Manteca,CA,37.7927,-121.2264
Arden-Arcade,CA,38.6034,-121.3810
El Cajon,CA,32.8017,-116.9605
Burbank,CA,34.1879,-118.3235
Longmont,CO,40.1686,-105.1005
Renton,WA,47.4784,-122.1919
Vista,CA,33.1896,-117.2386
Logan,UT,41.7400,-111.8419
Prescott Valley,AZ,34.5983,-112.3176
Vacaville,CA,38.3590,-121.9680
Edinburg,TX,26.3197,-98.1596
Carmel,IN,39.9650,-86.1460
Spokane Valley,WA,47.6626,-117.2346
San Angelo,TX,31.4424,-100.4506
La Crosse,WI,43.8240,-91.2268
Idaho Falls,ID,43.4872,-112.0362
Holland,MI,42.7677,-86.0985
Charlottesville,VA,38.0375,-78.4855
Longview,TX,32.5193,-94.7621
Tracy,CA,37.7269,-121.4522
Boca Raton,FL,26.3752,-80.1080
Lafayette,CO,39.9949,-105.0997
Lee's Summit,MO,38.9172,-94.3816
Rio Rancho,NM,35.2872,-106.6981
South Fulton,GA,33.6269,-84.5802
Beaverton,OR,45.4779,-122.8168
Lawrence,KS,38.9597,-95.2641
Bismarck,ND,46.8144,-100.7694
Orem,UT,40.2983,-111.6992
Middletown,OH,39.5032,-84.3660
San Tan Valley,AZ,33.1879,-111.5472
San Marcos,CA,33.1350,-117.1744
Sandy,UT,40.5710,-111.8505
Federal Way,WA,47.3091,-122.3358
Mandeville,LA,30.3751,-90.0904
Hesperia,CA,34.3975,-117.3147
Brockton,MA,42.0821,-71.0242
Compton,CA,33.8930,-118.2275
Riverview,FL,27.8227,-82.3023
Fishers,IN,39.9589,-85.9661
Sunrise,FL,26.1547,-80.2997
Bowling Green,KY,36.9719,-86.4373
Roswell,GA,34.0391,-84.3513
Menifee,CA,33.6909,-117.1849
Plantation,FL,26.1260,-80.2617
Dover,NH,43.1887,-70.8845
Quincy,MA,42.2516,-71.0183
Portsmouth,VA,36.8468,-76.3540
Chino,CA,33.9836,-117.6654
Lynn,MA,42.4779,-70.9663
Edmond,OK,35.6689,-97.4159
Hanford,CA,36.3274,-119.6549
Dearborn,MI,42.3127,-83.2129
Livonia,MI,42.3972,-83.3733
South Gate,CA,33.9448,-118.1926
Vineland,NJ,39.4653,-74.9981
